Alpha-3 code;Cancer code;Population code (ISO/UN);Country;Label;Sex;Number;MIR;Crude rate;Cumulative risk;indicator
NER;30;562;562;Niger;0;188;0.64;72;2;MIR
NGA;30;566;566;Nigeria;0;810;6.533333333;37;9;MIR
NOR;30;578;578;Norway;0;439;1.846153846;8;16;MIR
PAK;30;586;586;Pakistan;0;3251;0.617647059;14;24;MIR
PAN;30;591;591;Panama;0;39;3.222222222;88;6;MIR
PNG;30;598;598;Papua New Guinea;0;83;0.666666667;89;19;MIR
PRY;30;600;600;Paraguay;0;74;3.730769231;1;1;MIR
PER;30;604;604;Peru;0;404;3.565217391;12;7;MIR
PHL;30;608;608;Philippines;0;1116;0.523809524;99;11;MIR
POL;30;616;616;Poland;0;5346;0.03875969;142;56;MIR
PRT;30;620;620;Portugal;0;1392;3;137;32;MIR
GNB;30;624;624;Guinea-Bissau;0;10;0.5625;48;14;MIR
TLS;30;626;626;Timor-Leste;0;8;5.375;58;5;MIR
PRI;30;630;630;Puerto Rico;0;125;0.244897959;44;1;MIR
QAT;30;634;634;Qatar;0;26;0.659090909;87;25;MIR
REU;30;638;638;France, La Réunion;0;34;0.375;37;16;MIR
ROU;30;642;642;Romania;0;1896;0.305084746;10;41;MIR
RUS;30;643;643;Russian Federation;0;5917;0.275362319;41;23;MIR
RWA;30;646;646;Rwanda;0;33;0.567901235;24;5;MIR
LCA;30;662;662;Saint Lucia;0;1;0.338235294;54;0;MIR
STP;30;678;678;Sao Tome and Principe;0;3;0.482142857;13;5;MIR
SAU;30;682;682;Saudi Arabia;0;365;0.46875;1;15;MIR
SEN;30;686;686;Senegal;0;171;0.5625;97;21;MIR
SRB;30;688;688;Serbia;0;872;0.032;101;43;MIR
SLE;30;694;694;Sierra Leone;0;3;0.666666667;4;0;MIR
SGP;30;702;702;Singapore;0;201;0.41025641;34;13;MIR
SVK;30;703;703;Slovakia;0;515;0.316239316;94;41;MIR
VNM;30;704;704;Viet Nam;0;1004;4.875;1;9;MIR
SVN;30;705;705;Slovenia;0;255;0.278688525;123;34;MIR
SOM;30;706;706;Somalia;0;115;0.695652174;68;16;MIR
ZAF;30;710;710;South Africa;0;1002;0.048780488;17;18;MIR
ZWE;30;716;716;Zimbabwe;0;102;0.518518519;67;16;MIR
ESP;30;724;724;Spain;0;5832;0.18134715;125;36;MIR
SSD;30;728;728;South Sudan;0;64;0.611111111;55;12;MIR
SDN;30;729;729;Sudan;0;363;0.636363636;79;14;MIR
SUR;30;740;740;Suriname;0;6;4.5;1;7;MIR
SWZ;30;748;748;Eswatini;0;4;6.909090909;34;9;MIR
SWE;30;752;752;Sweden;0;881;0.196721311;86;22;MIR
CHE;30;756;756;Switzerland;0;769;0.176870748;88;24;MIR
SYR;30;760;760;Syrian Arab Republic;0;396;0.571428571;2;29;MIR
TJK;30;762;762;Tajikistan;0;38;62;38;6;MIR
THA;30;764;764;Thailand;0;2718;0.529411765;39;17;MIR
TGO;30;768;768;Togo;0;30;5.538461538;35;8;MIR
TTO;30;780;780;Trinidad and Tobago;0;43;0.486486486;31;21;MIR
ARE;30;784;784;United Arab Emirates;0;70;0.409836066;69;21;MIR
TUN;30;788;788;Tunisia;0;767;0.528089888;64;53;MIR
TUR;30;792;792;Türkiye;0;3905;0.284482759;46;34;MIR
TKM;30;795;795;Turkmenistan;0;76;0.517241379;12;18;MIR
UGA;30;800;800;Uganda;0;189;0.631578947;39;11;MIR
UKR;30;804;804;Ukraine;0;1970;0.031746032;46;26;MIR
