Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk,indicator
GUF,9,254,254,French Guyana,0,11,3.7,3.5,0.44,incidence
PYF,9,258,258,French Polynesia,0,20,4.9,7,0.53,incidence
DJI,9,262,262,Djibouti,0,27,2.9,2.7,0.34,incidence
GAB,9,266,266,Gabon,0,26,1.7,1.1,0.19,incidence
GEO,9,268,268,Georgia,0,557,7.2,14,0.91,incidence
GMB,9,270,270,The Republic of the Gambia,0,23,1.7,0.9,0.19,incidence
PSE,9,275,275,Gaza Strip and West Bank,0,188,6,3.5,0.7,incidence
DEU,9,276,276,Germany,0,21935,9.9,26.2,1.2,incidence
GHA,9,288,288,Ghana,0,483,2.2,1.5,0.24,incidence
GRC,9,300,300,Greece,0,1100,3.9,10.7,0.47,incidence
GLP,9,312,312,"France, Guadeloupe",0,59,7.2,14.8,0.86,incidence
GUM,9,316,316,Guam,0,14,5.8,8.2,0.7,incidence
GTM,9,320,320,Guatemala,0,80,0.56,0.43,0.06,incidence
GIN,9,324,324,Guinea,0,89,1.2,0.64,0.14,incidence
GUY,9,328,328,Guyana,0,12,1.3,1.5,0.14,incidence
HTI,9,332,332,Haiti,0,169,1.9,1.5,0.26,incidence
HND,9,340,340,Honduras,0,174,2.1,1.7,0.27,incidence
HUN,9,348,348,Hungary,0,3487,17.2,36.3,2.1,incidence
ISL,9,352,352,Iceland,0,55,8.5,15.9,0.98,incidence
IND,9,356,356,India,0,30817,2.2,2.2,0.25,incidence
IDN,9,360,360,Indonesia,0,16193,5.5,5.8,0.63,incidence
IRN,9,364,364,"Iran, Islamic Republic of",0,3880,4.1,4.5,0.48,incidence
IRQ,9,368,368,Iraq,0,830,3.2,2,0.36,incidence
IRL,9,372,372,Ireland,0,1148,12.1,22.9,1.4,incidence
ISR,9,376,376,Israel,0,825,7.1,9.3,0.81,incidence
ITA,9,380,380,Italy,0,14699,8.7,24.4,1,incidence
CIV,9,384,384,Côte d'Ivoire,0,283,1.9,1,0.21,incidence
JAM,9,388,388,Jamaica,0,177,4.7,5.9,0.56,incidence
JPN,9,392,392,Japan,0,48443,13.6,38.6,1.7,incidence
KAZ,9,398,398,Kazakhstan,0,1577,7,8.2,0.89,incidence
JOR,9,400,400,Jordan,0,340,4.3,3.3,0.49,incidence
KEN,9,404,404,Kenya,0,1044,3.6,1.9,0.4,incidence
PRK,9,408,408,"Korea, Democratic People Republic of",0,3814,10.1,14.7,1.3,incidence
KOR,9,410,410,"Korea, Republic of",0,11538,11,22.5,1.3,incidence
KWT,9,414,414,Kuwait,0,132,3.3,3,0.39,incidence
KGZ,9,417,417,Kyrgyzstan,0,219,3.9,3.3,0.46,incidence
LAO,9,418,418,Lao People's Democratic Republic,0,335,6,4.5,0.69,incidence
LBN,9,422,422,Lebanon,0,264,3.4,4,0.4,incidence
LSO,9,426,426,Lesotho,0,35,2.1,1.6,0.23,incidence
LVA,9,428,428,Latvia,0,484,10.5,26.2,1.4,incidence
LBR,9,430,430,Liberia,0,43,1.4,0.81,0.15,incidence
LBY,9,434,434,Libya,0,326,5.3,4.6,0.53,incidence
LTU,9,440,440,Lithuania,0,566,8.4,21.3,1.1,incidence
LUX,9,442,442,Luxembourg,0,88,7.1,13.7,0.89,incidence
MDG,9,450,450,Madagascar,0,364,2.3,1.3,0.26,incidence
MWI,9,454,454,Malawi,0,226,2.1,1.1,0.22,incidence
MYS,9,458,458,Malaysia,0,3045,8.4,9.2,0.96,incidence
MDV,9,462,462,Maldives,0,24,5.6,4.4,0.65,incidence
MLI,9,466,466,Mali,0,432,4.1,2,0.44,incidence
MLT,9,470,470,Malta,0,90,8.5,20.3,0.96,incidence
MTQ,9,474,474,"France, Martinique",0,57,6,15.2,0.71,incidence
MRT,9,478,478,Mauritania,0,64,2.2,1.3,0.24,incidence
MUS,9,480,480,Mauritius,0,107,5,8.4,0.61,incidence
MEX,9,484,484,Mexico,0,3703,2.5,2.8,0.3,incidence
