Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk,indicator
YEM,9,887,887,Yemen,0,619,3.5,2,0.38,incidence
ZMB,9,894,894,Zambia,0,240,2.7,1.2,0.31,incidence
,,,,Total,,729658,7.1,9.3,0.85,incidence
AFG,7,4,4,Afghanistan,0,2077,11,5.1,1.3,incidence
ALB,7,8,8,Albania,0,716,12.6,25,1.4,incidence
DZA,7,12,12,Algeria,0,2785,6.1,6.1,0.72,incidence
AGO,7,24,24,Angola,0,676,4.5,1.9,0.55,incidence
AZE,7,31,31,Azerbaijan,0,2016,16.6,19.6,2,incidence
ARG,7,32,32,Argentina,0,4460,6.7,9.7,0.8,incidence
AUS,7,36,36,Australia,0,2837,5.3,10.9,0.61,incidence
AUT,7,40,40,Austria,0,1187,5.4,13.1,0.65,incidence
BHS,7,44,44,Bahamas,0,38,7.7,9.5,0.97,incidence
BHR,7,48,48,Bahrain,0,38,3.3,2.1,0.35,incidence
BGD,7,50,50,Bangladesh,0,8365,5.5,5,0.65,incidence
ARM,7,51,51,Armenia,0,612,12.1,20.6,1.4,incidence
BRB,7,52,52,Barbados,0,32,5,11.1,0.67,incidence
BEL,7,56,56,Belgium,0,1438,5.4,12.3,0.63,incidence
BTN,7,64,64,Bhutan,0,115,15.9,14.6,1.9,incidence
BOL,7,68,68,Bolivia,0,1092,8.7,9.1,1,incidence
BIH,7,70,70,Bosnia Herzegovina,0,687,9.6,21.1,1.2,incidence
BWA,7,72,72,Botswana,0,24,1.3,0.98,0.15,incidence
BRA,7,76,76,Brazil,0,23021,7.6,10.7,0.85,incidence
BLZ,7,84,84,Belize,0,18,4.8,4.4,0.48,incidence
SLB,7,90,90,Solomon Islands,0,10,2.4,1.4,0.24,incidence
BRN,7,96,96,Brunei Darussalam,0,47,10.4,10.6,1.1,incidence
BGR,7,100,100,Bulgaria,0,1469,9,21.5,1.1,incidence
MMR,7,104,104,Myanmar,0,6670,11.8,12.1,1.4,incidence
BDI,7,108,108,Burundi,0,284,5.3,2.3,0.65,incidence
BLR,7,112,112,Belarus,0,2804,15.3,29.7,2,incidence
KHM,7,116,116,Cambodia,0,562,4.1,3.3,0.43,incidence
CMR,7,120,120,Cameroon,0,477,3.5,1.7,0.38,incidence
CAN,7,124,124,Canada,0,4113,4.7,10.7,0.54,incidence
CPV,7,132,132,Cape Verde,0,24,5.1,4.2,0.55,incidence
CAF,7,140,140,Central African Republic,0,82,3.5,1.6,0.37,incidence
LKA,7,144,144,Sri Lanka,0,856,2.6,4,0.3,incidence
TCD,7,148,148,Chad,0,264,3,1.5,0.41,incidence
CHL,7,152,152,Chile,0,4955,14.2,25.7,1.6,incidence
CHN,7,156,160,China,0,358672,13.7,25.4,1.7,incidence
COL,7,170,170,Colombia,0,8938,12.9,17.4,1.4,incidence
COM,7,174,174,Comoros,0,10,2.1,1.1,0.31,incidence
COG,7,178,178,"Congo, Republic of",0,110,3.4,1.9,0.37,incidence
COD,7,180,180,"Congo, Democratic People Republic of",0,1783,3.9,1.9,0.44,incidence
CRI,7,188,188,Costa Rica,0,1137,14,21.9,1.6,incidence
HRV,7,191,191,Croatia,0,985,9.4,24.3,1.1,incidence
CUB,7,192,192,Cuba,0,1410,5.6,12.5,0.66,incidence
CYP,7,196,196,Cyprus,0,147,6.1,12,0.63,incidence
CZE,7,203,203,Czechia,0,1242,4.8,11.6,0.58,incidence
BEN,7,204,204,Benin,0,407,5.9,3.2,0.62,incidence
DNK,7,208,208,Denmark,0,731,5.3,12.5,0.63,incidence
DOM,7,214,214,Dominican Republic,0,767,6.2,6.9,0.72,incidence
ECU,7,218,218,Ecuador,0,2692,12.8,14.9,1.4,incidence
SLV,7,222,222,El Salvador,0,693,8.2,10.6,0.83,incidence
GNQ,7,226,226,Equatorial Guinea,0,22,2.7,1.5,0.28,incidence
ETH,7,231,231,Ethiopia,0,2394,3.3,2,0.37,incidence
ERI,7,232,232,Eritrea,0,71,3,1.9,0.32,incidence
EST,7,233,233,Estonia,0,412,13.1,31.2,1.6,incidence
FJI,7,242,242,Fiji,0,37,4.1,4.1,0.45,incidence
FIN,7,246,246,Finland,0,584,4,10.5,0.46,incidence
FRA,7,250,250,France (metropolitan),0,7673,4.9,11.7,0.56,incidence
GUF,7,254,254,French Guyana,0,24,8.6,7.6,0.81,incidence
PYF,7,258,258,French Polynesia,0,27,6.8,9.5,0.78,incidence
DJI,7,262,262,Djibouti,0,24,2.9,2.4,0.31,incidence
GAB,7,266,266,Gabon,0,40,2.4,1.7,0.26,incidence
GEO,7,268,268,Georgia,0,759,9.7,19.1,1.2,incidence
GMB,7,270,270,The Republic of the Gambia,0,35,2.8,1.4,0.33,incidence
PSE,7,275,275,Gaza Strip and West Bank,0,156,5,2.9,0.56,incidence
DEU,7,276,276,Germany,0,14088,6.4,16.8,0.77,incidence
GHA,7,288,288,Ghana,0,942,4.8,2.9,0.56,incidence
GRC,7,300,300,Greece,0,1871,6.3,18.1,0.73,incidence
GLP,7,312,312,"France, Guadeloupe",0,124,12.3,31,1.4,incidence
GUM,7,316,316,Guam,0,16,6.1,9.3,0.98,incidence
GTM,7,320,320,Guatemala,0,1766,12.2,9.5,1.3,incidence
GIN,7,324,324,Guinea,0,327,4.7,2.4,0.53,incidence
GUY,7,328,328,Guyana,0,38,4.5,4.8,0.49,incidence
HTI,7,332,332,Haiti,0,961,9.9,8.2,0.84,incidence
HND,7,340,340,Honduras,0,694,8.6,6.8,1,incidence
HUN,7,348,348,Hungary,0,1758,7.5,18.3,0.89,incidence
ISL,7,352,352,Iceland,0,27,3.3,7.8,0.33,incidence
IND,7,356,356,India,0,64611,4.5,4.6,0.54,incidence
IDN,7,360,360,Indonesia,0,3852,1.3,1.4,0.13,incidence
IRN,7,364,364,"Iran, Islamic Republic of",0,17191,19.4,20,2.4,incidence
IRQ,7,368,368,Iraq,0,1267,5,3,0.58,incidence
IRL,7,372,372,Ireland,0,534,5.3,10.6,0.55,incidence
ISR,7,376,376,Israel,0,796,5.8,8.9,0.65,incidence
ITA,7,380,380,Italy,0,13501,6.8,22.4,0.78,incidence
CIV,7,384,384,Côte d'Ivoire,0,648,4.8,2.3,0.54,incidence
JAM,7,388,388,Jamaica,0,275,6.9,9.2,0.78,incidence
JPN,7,392,392,Japan,0,126724,27.6,100.9,3.3,incidence
KAZ,7,398,398,Kazakhstan,0,3085,13.7,16.1,1.8,incidence
JOR,7,400,400,Jordan,0,413,5.3,4,0.63,incidence
KEN,7,404,404,Kenya,0,1899,7.2,3.4,0.88,incidence
PRK,7,408,408,"Korea, Democratic People Republic of",0,5312,13.9,20.4,1.7,incidence
KOR,7,410,410,"Korea, Republic of",0,29267,27,57,3.3,incidence
KWT,7,414,414,Kuwait,0,86,2.5,2,0.27,incidence
KGZ,7,417,417,Kyrgyzstan,0,932,16.5,13.9,2,incidence
LAO,7,418,418,Lao People's Democratic Republic,0,634,11.3,8.5,1.3,incidence
LBN,7,422,422,Lebanon,0,243,3.1,3.6,0.35,incidence
LSO,7,426,426,Lesotho,0,27,1.7,1.2,0.16,incidence
LVA,7,428,428,Latvia,0,522,12.1,28.2,1.5,incidence
LBR,7,430,430,Liberia,0,140,4.5,2.6,0.52,incidence
LBY,7,434,434,Libya,0,224,3.8,3.2,0.43,incidence
LTU,7,440,440,Lithuania,0,757,11.7,28.4,1.4,incidence
LUX,7,442,442,Luxembourg,0,58,4.6,9,0.47,incidence
